




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Derlin-1 retrotranslocation complex (GO:0036513)	8	5	1.15	+	4.33	2.38E-03	1.07E-02
zona pellucida receptor complex (GO:0002199)	8	5	1.15	+	4.33	2.38E-03	1.06E-02
nuclear stress granule (GO:0097165)	8	5	1.15	+	4.33	2.38E-03	1.06E-02
mitochondrial small ribosomal subunit (GO:0005763)	32	20	4.61	+	4.33	5.58E-10	6.66E-09
Sm-like protein family complex (GO:0120114)	87	54	12.55	+	4.30	1.89E-24	4.39E-23
endopeptidase complex (GO:1905369)	100	62	14.42	+	4.30	7.88E-28	2.09E-26
cytoplasmic ubiquitin ligase complex (GO:0000153)	13	8	1.87	+	4.27	1.21E-04	7.53E-04
respiratory chain complex III (GO:0045275)	13	8	1.87	+	4.27	1.21E-04	7.50E-04
clathrin coat of coated pit (GO:0030132)	18	11	2.60	+	4.24	6.56E-06	5.11E-05
COPI-coated vesicle membrane (GO:0030663)	18	11	2.60	+	4.24	6.56E-06	5.09E-05
U2-type spliceosomal complex (GO:0005684)	95	58	13.70	+	4.23	1.28E-25	3.11E-24
presynaptic endosome (GO:0098830)	10	6	1.44	+	4.16	1.11E-03	5.51E-03
caspase complex (GO:0008303)	10	6	1.44	+	4.16	1.11E-03	5.49E-03
U5 snRNP (GO:0005682)	20	12	2.88	+	4.16	3.22E-06	2.60E-05
EMC complex (GO:0072546)	10	6	1.44	+	4.16	1.11E-03	5.48E-03
Golgi transport complex (GO:0017119)	10	6	1.44	+	4.16	1.11E-03	5.47E-03
NLS-dependent protein nuclear import complex (GO:0042564)	10	6	1.44	+	4.16	1.11E-03	5.45E-03
azurophil granule lumen (GO:0035578)	90	54	12.98	+	4.16	1.99E-23	4.36E-22
nuclear pore (GO:0005643)	95	56	13.70	+	4.09	1.05E-23	2.38E-22
RNA cap binding complex (GO:0034518)	17	10	2.45	+	4.08	2.81E-05	1.94E-04
preribosome (GO:0030684)	104	61	15.00	+	4.07	1.56E-25	3.74E-24
proton-transporting V-type ATPase, V1 domain (GO:0033180)	12	7	1.73	+	4.04	5.23E-04	2.81E-03
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	12	7	1.73	+	4.04	5.23E-04	2.81E-03
ESCRT III complex (GO:0000815)	12	7	1.73	+	4.04	5.23E-04	2.80E-03
amphisome membrane (GO:1904930)	12	7	1.73	+	4.04	5.23E-04	2.79E-03
catalytic step 1 spliceosome (GO:0071012)	12	7	1.73	+	4.04	5.23E-04	2.78E-03
U2-type catalytic step 1 spliceosome (GO:0071006)	12	7	1.73	+	4.04	5.23E-04	2.78E-03
mitochondrial outer membrane translocase complex (GO:0005742)	24	14	3.46	+	4.04	7.66E-07	6.72E-06
protein folding chaperone complex (GO:0101031)	43	25	6.20	+	4.03	3.68E-11	4.76E-10
90S preribosome (GO:0030686)	26	15	3.75	+	4.00	3.73E-07	3.44E-06
rough endoplasmic reticulum (GO:0005791)	59	34	8.51	+	4.00	1.58E-14	2.59E-13
oxidoreductase complex (GO:1990204)	115	66	16.59	+	3.98	9.47E-27	2.42E-25
microtubule minus-end (GO:0036449)	7	4	1.01	+	3.96	1.05E-02	3.94E-02
prefoldin complex (GO:0016272)	7	4	1.01	+	3.96	1.05E-02	3.93E-02
ER ubiquitin ligase complex (GO:0000835)	7	4	1.01	+	3.96	1.05E-02	3.93E-02
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	7	4	1.01	+	3.96	1.05E-02	3.92E-02
hemidesmosome (GO:0030056)	7	4	1.01	+	3.96	1.05E-02	3.91E-02
amphisome (GO:0044753)	14	8	2.02	+	3.96	2.46E-04	1.47E-03
Prp19 complex (GO:0000974)	14	8	2.02	+	3.96	2.46E-04	1.47E-03
mitotic cohesin complex (GO:0030892)	7	4	1.01	+	3.96	1.05E-02	3.91E-02
exosome (RNase complex) (GO:0000178)	21	12	3.03	+	3.96	6.52E-06	5.10E-05
ficolin-1-rich granule (GO:0101002)	186	105	26.82	+	3.91	6.91E-41	2.49E-39
nuclear exosome (RNase complex) (GO:0000176)	16	9	2.31	+	3.90	1.16E-04	7.27E-04
