




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
membraneless organelle (GO:0043228)	5876	6	5.71	+	1.05	8.10E-01	1.00E00
chromosome (GO:0005694)	2006	2	1.95	+	1.03	1.00E00	1.00E00
nucleoplasm (GO:0005654)	4258	4	4.14	-	.97	1.00E00	1.00E00
cilium (GO:0005929)	1088	1	1.06	-	.95	1.00E00	1.00E00
nuclear lumen (GO:0031981)	4648	4	4.52	-	.89	1.00E00	1.00E00
chromatin (GO:0000785)	1399	1	1.36	-	.74	1.00E00	1.00E00
apical junction complex (GO:0043296)	157	0	.15	-	 < 0.01	1.00E00	1.00E00
apoptosome (GO:0043293)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of transport vesicle membrane (GO:0098539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deuterosome (GO:0098536)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial processing peptidase complex (GO:0017087)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome membrane (GO:0098896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome membrane (GO:0098895)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
