




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
phagolysosome membrane (GO:0061474)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase complex (GO:0005948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IB (GO:0005944)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acrosomal matrix (GO:0043159)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
septin ring (GO:0005940)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
Mad-Max complex (GO:0070443)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
integrin alphaIIb-beta3 complex (GO:0070442)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
specialized extracellular matrix (GO:0140047)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:1990140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated endoplasmic reticulum membrane contact site (GO:0044233)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
cell cortex (GO:0005938)	324	0	.31	-	 < 0.01	1.00E00	1.00E00
organelle membrane contact site (GO:0044232)	59	0	.06	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
axoneme (GO:0005930)	193	0	.19	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GATOR1 complex (GO:1990130)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
apical pole of neuron (GO:0044225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
bicellular tight junction (GO:0005923)	132	0	.13	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase complex (GO:0071513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
A axonemal microtubule (GO:0097649)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIB complex (GO:0000126)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligase III-XRCC1 complex (GO:0070421)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
other organism cell membrane (GO:0044218)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
other organism part (GO:0044217)	37	0	.04	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase complex (GO:0000123)	94	0	.09	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulator complex (GO:0000120)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
spot adherens junction (GO:0005914)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adherens junction (GO:0005912)	199	0	.19	-	 < 0.01	1.00E00	1.00E00
cell-cell junction (GO:0005911)	533	0	.52	-	 < 0.01	1.00E00	1.00E00
nonhomologous end joining complex (GO:0070419)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
skeletal muscle myofibril (GO:0098723)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MTREC complex (GO:1990477)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase complex (GO:0000118)	83	0	.08	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
PAS complex (GO:0070772)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 2 complex (GO:0000111)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatin lock complex (GO:0061793)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
brush border (GO:0005903)	110	0	.11	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment membrane (GO:0060342)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
specific granule lumen (GO:0035580)	62	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor complex (GO:0042022)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcolemma (GO:0042383)	139	0	.14	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
KICSTOR complex (GO:0140007)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	57	0	.06	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore transmembrane ring (GO:0070762)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatase complex (GO:1903293)	57	0	.06	-	 < 0.01	1.00E00	1.00E00
azurophil granule lumen (GO:0035578)	90	0	.09	-	 < 0.01	1.00E00	1.00E00
azurophil granule membrane (GO:0035577)	58	0	.06	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (ADP-forming) (GO:0009361)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA polymerase III complex (GO:0009360)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-type voltage-gated calcium channel complex (GO:1990454)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin small complex (GO:0008275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Tapasin-ERp57 complex (GO:0061779)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
eNoSc complex (GO:0061773)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
radial spoke stalk (GO:0001536)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke head (GO:0001535)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke (GO:0001534)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	60	0	.06	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-23 complex (GO:0070743)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
THO complex part of transcription export complex (GO:0000445)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonuclease H2 complex (GO:0032299)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
FANCM-MHF complex (GO:0071821)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
chromaffin granule lumen (GO:0034466)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
upper tip-link density (GO:1990435)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
basolateral part of cell (GO:1990794)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U2AF complex (GO:0089701)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex (GO:0000795)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome (GO:0000794)	83	0	.08	-	 < 0.01	1.00E00	1.00E00
perinuclear theca (GO:0033011)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
condensed chromosome (GO:0000793)	288	0	.28	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
heterochromatin (GO:0000792)	89	0	.09	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	62	0	.06	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor complex (GO:0032281)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
symmetric synapse (GO:0032280)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisomal importomer complex (GO:1990429)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
stereocilia tip-link density (GO:1990427)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex (GO:0009330)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GLI-SUFU complex (GO:1990788)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
centriolar satellite (GO:0034451)	146	0	.14	-	 < 0.01	1.00E00	1.00E00
RZZ complex (GO:1990423)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	115	0	.11	-	 < 0.01	1.00E00	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ISGF3 complex (GO:0070721)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cone photoreceptor outer segment (GO:0120199)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Fc-gamma receptor III complex (GO:0033001)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
autophagosome membrane (GO:0000421)	58	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric region (GO:0000781)	162	0	.16	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
asymmetric synapse (GO:0032279)	367	0	.36	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein Ib-IX-V complex (GO:1990779)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle (GO:1990777)	37	0	.04	-	 < 0.01	1.00E00	1.00E00
HIR complex (GO:0000417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	186	0	.18	-	 < 0.01	1.00E00	1.00E00
kinetochore (GO:0000776)	174	0	.17	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric region (GO:0000775)	253	0	.25	-	 < 0.01	1.00E00	1.00E00
ATAC complex (GO:0140672)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
NF-kappaB p50/p65 complex (GO:0035525)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	61	0	.06	-	 < 0.01	1.00E00	1.00E00
proximal neuron projection (GO:1990769)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	39	0	.04	-	 < 0.01	1.00E00	1.00E00
outer mucus layer (GO:0070703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inner mucus layer (GO:0070702)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mucus layer (GO:0070701)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule end (GO:1990752)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	111	0	.11	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid tube (GO:0060987)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
host cellular component (GO:0018995)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyltransferase complex (GO:1902493)	112	0	.11	-	 < 0.01	1.00E00	1.00E00
recycling endosome lumen (GO:0034777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secretory granule lumen (GO:0034774)	326	0	.32	-	 < 0.01	1.00E00	1.00E00
EARP complex (GO:1990745)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
microvesicle (GO:1990742)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin complex (GO:0016459)	58	0	.06	-	 < 0.01	1.00E00	1.00E00
PAR polarity complex (GO:0120157)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical inflammasome complex (GO:0061702)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
GATOR2 complex (GO:0061700)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Seh1-associated complex (GO:0035859)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine membrane (GO:0032591)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
dendrite membrane (GO:0032590)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
RQC-trigger complex (GO:0180022)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pseudopodium (GO:0031143)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
titin-telethonin complex (GO:1990733)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
hemidesmosome (GO:0030056)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
CARD8 inflammasome complex (GO:0140634)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RISC complex (GO:0016442)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellar Golgi cell to granule cell synapse (GO:0099192)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection membrane (GO:0032589)	65	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane (GO:0032588)	113	0	.11	-	 < 0.01	1.00E00	1.00E00
ruffle membrane (GO:0032587)	100	0	.10	-	 < 0.01	1.00E00	1.00E00
Knl1/Spc105 complex (GO:0180019)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
multivesicular body membrane (GO:0032585)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	1628	0	1.58	-	 < 0.01	4.00E-01	1.00E00
new growing cell tip (GO:0035841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna membrane (GO:0032580)	93	0	.09	-	 < 0.01	1.00E00	1.00E00
TTT Hsp90 cochaperone complex (GO:0110078)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear aryl hydrocarbon receptor complex (GO:0034753)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Lsm1-7-Pat1 complex (GO:1990726)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor complex (GO:0034751)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
galectin complex (GO:1990724)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Scrib-APC-beta-catenin complex (GO:0034750)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic periphery of the nuclear pore complex (GO:1990723)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellularization cleavage furrow (GO:0110070)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DAPK1-calmodulin complex (GO:1990722)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
actomyosin (GO:0042641)	93	0	.09	-	 < 0.01	1.00E00	1.00E00
postsynaptic spectrin-associated cytoskeleton (GO:0099189)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, base subcomplex (GO:0008540)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
distal portion of axoneme (GO:0120135)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proximal portion of axoneme (GO:0120134)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
presynaptic intermediate filament cytoskeleton (GO:0099182)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
growing cell tip (GO:0035838)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule end (GO:1905721)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule bundle (GO:1905720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axonemal central pair projection (GO:1990718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axonemal central apparatus (GO:1990716)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPBP3-MTO1 complex (GO:7770010)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
survivin complex (GO:1990713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome activator complex (GO:0008537)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
HFE-transferrin receptor complex (GO:1990712)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Ski complex (GO:0055087)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-catenin-ICAT complex (GO:1990711)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin VII complex (GO:0031477)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mast cell granule (GO:0042629)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin V complex (GO:0031475)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chylomicron (GO:0042627)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
MAD1 complex (GO:1990706)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial pyruvate carrier complex (GO:7770001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment membrane (GO:0042622)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell membrane (GO:0033644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
host cell part (GO:0033643)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Lsm2-8 complex (GO:0120115)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization membrane of symmetric synapse (GO:0099164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Sm-like protein family complex (GO:0120114)	87	0	.08	-	 < 0.01	1.00E00	1.00E00
neuron projection cytoplasm (GO:0120111)	90	0	.09	-	 < 0.01	1.00E00	1.00E00
postsynaptic intermediate filament cytoskeleton (GO:0099160)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase complex (GO:0048269)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
septin complex (GO:0031105)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
Cul7-RING ubiquitin ligase complex (GO:0031467)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Cul5-RING ubiquitin ligase complex (GO:0031466)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
heparanase complex (GO:1904974)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	61	0	.06	-	 < 0.01	1.00E00	1.00E00
Cul2-RING ubiquitin ligase complex (GO:0031462)	47	0	.05	-	 < 0.01	1.00E00	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	235	0	.23	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex (GO:0042613)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex (GO:0042612)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC protein complex (GO:0042611)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT core complex (GO:0030015)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT complex (GO:0030014)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
serotonergic synapse (GO:0099154)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
centriolar subdistal appendage (GO:0120103)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
egg coat (GO:0035805)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CURI complex (GO:0032545)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cortical endoplasmic reticulum (GO:0032541)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
SMN-Sm protein complex (GO:0034719)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
