




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
histone H4K5ac reader activity (GO:0140012)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4K12ac reader activity (GO:0140011)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-aspartate transmembrane transporter activity (GO:0140010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
syntaxin binding (GO:0019905)	61	0	.05	-	 < 0.01	1.00E00	1.00E00
protein phosphatase binding (GO:0019903)	151	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphatase binding (GO:0019902)	198	0	.17	-	 < 0.01	1.00E00	1.00E00
poly-purine tract binding (GO:0070717)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K18 deacetylase activity, NAD-dependent (GO:0097372)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MDM2/MDM4 family protein binding (GO:0097371)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4 reader activity (GO:0140008)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3 reader activity (GO:0140006)	67	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4K20me2 reader activity (GO:0140005)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3Q5ser reader activity (GO:0140004)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K36me3 reader activity (GO:0140003)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K4me3 reader activity (GO:0140002)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
sterol desaturase activity (GO:0070704)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sialic acid:proton symporter activity (GO:0015538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BMP receptor binding (GO:0070700)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
protein O-acetylglucosaminyltransferase activity (GO:0097363)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:monoatomic cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905060)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration (GO:0099534)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hexose-phosphate:phosphate antiporter activity (GO:0015526)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential (GO:0099530)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905059)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration (GO:1905056)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	58	0	.05	-	 < 0.01	1.00E00	1.00E00
G protein-coupled neurotransmitter receptor activity (GO:0099528)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
digestive hormone activity (GO:0046659)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP hydrolase activity (GO:0106177)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galactose:proton symporter activity (GO:0015517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ISG15 transferase activity (GO:0042296)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
URM1 activating enzyme activity (GO:0042292)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion binding involved in regulation of cytosolic calcium ion concentration (GO:0099510)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA N-acetyltransferase activity (GO:0106162)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate:sodium symporter activity (GO:0015501)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class II protein binding (GO:0042289)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I protein binding (GO:0042288)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC protein binding (GO:0042287)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
xylosyltransferase activity (GO:0042285)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid delta-4 desaturase activity (GO:0042284)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042283)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042281)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine 3-dioxygenase activity (GO:0106157)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine 4-dioxygenase activity (GO:0106156)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine 3-dioxygenase activity (GO:0106155)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
7SK snRNA binding (GO:0097322)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide binding (GO:0042277)	233	0	.20	-	 < 0.01	1.00E00	1.00E00
caspase binding (GO:0089720)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid binding (GO:0046625)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid transporter activity (GO:0046624)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingolipid floppase activity (GO:0046623)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
P-TEFb complex binding (GO:0106140)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (L-threonylcarbamoyladenosine(37)-C2) methyltransferase activity (GO:0089715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Sec61 translocon complex binding (GO:0106138)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex binding (GO:0106137)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine phosphoribosyltransferase activity (GO:0106130)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
receptor signaling protein tyrosine kinase activator activity (GO:0030298)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase activator activity (GO:0030296)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
receptor signaling protein tyrosine kinase inhibitor activity (GO:0030294)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase inhibitor activity (GO:0030293)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase inhibitor activity (GO:0030292)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
sphingolipid activator protein activity (GO:0030290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K4me/H3K4me2/H3K4me3 demethylase activity (GO:0034647)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear estrogen receptor activity (GO:0030284)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of skin epidermis (GO:0030280)	63	0	.06	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transporter activity (GO:0034634)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
retinol transmembrane transporter activity (GO:0034632)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K9 demethylase activity (GO:0032454)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K4 demethylase activity (GO:0032453)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
Ala-tRNA(Thr) deacylase activity (GO:0106105)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
LRR domain binding (GO:0030275)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
LIM domain binding (GO:0030274)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
melanin-concentrating hormone receptor activity (GO:0030273)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5-formyltetrahydrofolate cyclo-ligase activity (GO:0030272)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA hairpin binding (GO:0032448)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADPH) activity (GO:0030267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase [NAD(P)H] activity (GO:0032440)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin binding (GO:0034617)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase inhibitor activity (GO:0030251)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase activator activity (GO:0030250)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
netrin receptor binding (GO:1990890)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA cap trimethylguanosine synthase activity (GO:0071164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylgalactosaminidase activity (GO:0032428)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GBD domain binding (GO:0032427)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol 14-demethylase activity (GO:0008398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol 12-alpha-hydroxylase activity (GO:0008397)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxysterol 7-alpha-hydroxylase activity (GO:0008396)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase regulator activity (GO:0030249)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
purine-rich negative regulatory element binding (GO:0032422)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hydroxylase activity (GO:0008395)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate binding (GO:0030246)	281	0	.25	-	 < 0.01	1.00E00	1.00E00
histone H4K20me3 reader activity (GO:1990889)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arachidonate epoxygenase activity (GO:0008392)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
arachidonate monooxygenase activity (GO:0008391)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
testosterone 16-alpha-hydroxylase activity (GO:0008390)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
18S rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coumarin 7-hydroxylase activity (GO:0008389)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid 7-alpha-hydroxylase activity (GO:0008387)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol monooxygenase (side-chain-cleaving) activity (GO:0008386)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase activity (GO:0008384)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase regulator activity (GO:0030235)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
mechanosensitive monoatomic ion channel activity (GO:0008381)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transmembrane transporter activity (GO:0030233)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AK5 acetyltransferase activity (GO:0043999)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A acetyltransferase activity (GO:0043998)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4K12 acetyltransferase activity (GO:0043997)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4K8 acetyltransferase activity (GO:0043996)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4K5 acetyltransferase activity (GO:0043995)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3K23 acetyltransferase activity (GO:0043994)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K18 acetyltransferase activity (GO:0043993)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K9 acetyltransferase activity (GO:0043992)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate transfer activity (GO:1902388)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate binding (GO:1902387)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex binding (GO:0032408)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLbeta complex binding (GO:0032406)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thioredoxin peroxidase activity (GO:0008379)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex binding (GO:0032405)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
galactosyltransferase activity (GO:0008378)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylgalactosaminyltransferase activity (GO:0008376)	34	0	.03	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor activity (GO:0030229)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	44	0	.04	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor activity (GO:0030228)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
O-acyltransferase activity (GO:0008374)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
sialyltransferase activity (GO:0008373)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
apolipoprotein receptor activity (GO:0030226)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chemoattractant activity involved in axon guidance (GO:1902379)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor binding (GO:0030215)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
methionyl-initiator methionine tRNA binding (GO:1990856)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
promoter-specific chromatin binding (GO:1990841)	74	0	.06	-	 < 0.01	1.00E00	1.00E00
ketosteroid monooxygenase activity (GO:0047086)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
MAP kinase kinase kinase kinase activity (GO:0008349)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sequence-specific double-stranded DNA binding (GO:1990837)	1517	0	1.33	-	 < 0.01	6.39E-01	1.00E00
3-hydroxypropionyl-CoA dehydratase activity (GO:0043956)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine racemase activity (GO:0018114)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-butyrobetaine dioxygenase activity (GO:0008336)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
low voltage-gated calcium channel activity (GO:0008332)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
high voltage-gated calcium channel activity (GO:0008331)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
thioesterase binding (GO:0031996)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/threonine phosphatase activity (GO:0008330)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor II binding (GO:0031995)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor I binding (GO:0031994)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
metal cluster binding (GO:0051540)	76	0	.07	-	 < 0.01	1.00E00	1.00E00
phospholipid-hydroperoxide glutathione peroxidase activity (GO:0047066)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
methyl-CpG binding (GO:0008327)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
monoatomic cation transmembrane transporter activity (GO:0008324)	649	0	.57	-	 < 0.01	1.00E00	1.00E00
poly(A) RNA polymerase activity (GO:1990817)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transporter activity (GO:0008320)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster binding (GO:0051536)	75	0	.07	-	 < 0.01	1.00E00	1.00E00
vitamin-K-epoxide reductase (warfarin-insensitive) activity (GO:0047058)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin-K-epoxide reductase (warfarin-sensitive) activity (GO:0047057)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein prenyltransferase activity (GO:0008318)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	2270	0	1.99	-	 < 0.01	2.51E-01	1.00E00
7S RNA binding (GO:0008312)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA 3'-5' DNA exonuclease activity (GO:0008311)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 3'-5' DNA exonuclease activity (GO:0008310)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 5-kinase activity (GO:0000832)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 6-kinase activity (GO:0000831)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NFAT protein binding (GO:0051525)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
suramin binding (GO:0043924)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kinesin binding (GO:0019894)	44	0	.04	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase (NADP+) activity (GO:0047045)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity (GO:0047044)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic anion channel activity (GO:0008308)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of muscle (GO:0008307)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol pentakisphosphate kinase activity (GO:0000829)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA binding, bending (GO:0008301)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate kinase activity (GO:0000828)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 6-kinase activity (GO:0000825)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear mineralocorticoid receptor binding (GO:0031962)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5,6-tetrakisphosphate 3-kinase activity (GO:0000824)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 6-kinase activity (GO:0000823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate binding (GO:0000822)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
L-seryl-tRNA(Sec) kinase activity (GO:0043915)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase regulator activity (GO:0019888)	109	0	.10	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase (NAD+) activity (GO:0047035)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
type II activin receptor binding (GO:0070699)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
type I activin receptor binding (GO:0070698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor binding (GO:0070697)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
5-hydroxymethyl-dUMP N-hydrolase activity (GO:0070694)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid-CoA ligase activity (GO:0031957)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid-CoA ligase activity (GO:0031956)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid-CoA ligase activity (GO:0031955)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
diacylglycerol diphosphate phosphatase activity (GO:0000810)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
D-tyrosyl-tRNA(Tyr) deacylase activity (GO:0051500)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity (GO:0047024)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium channel inhibitor activity (GO:0019871)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
androsterone dehydrogenase [NAD(P)+] activity (GO:0047023)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium channel inhibitor activity (GO:0019870)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
7-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0047022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NADP+) activity (GO:0047021)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity (GO:0047020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride channel inhibitor activity (GO:0019869)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin binding (GO:0019865)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
prostaglandin F synthase activity (GO:0047017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
IgG binding (GO:0019864)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity (GO:0047016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgE binding (GO:0019863)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity (GO:0047015)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgA binding (GO:0019862)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5 trisphosphate binding (GO:0070679)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
hypoxanthine oxidase activity (GO:0070675)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoxanthine dehydrogenase activity (GO:0070674)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium channel inhibitor activity (GO:0019855)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase [NAD(P)+] activity (GO:0047006)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
formate transmembrane transporter activity (GO:0015499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pantothenate:sodium symporter activity (GO:0015498)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:proton symporter activity (GO:0015495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA binding (GO:0019843)	69	0	.06	-	 < 0.01	1.00E00	1.00E00
vitamin binding (GO:0019842)	148	0	.13	-	 < 0.01	1.00E00	1.00E00
retinol binding (GO:0019841)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
isoprenoid binding (GO:0019840)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor binding (GO:0070653)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine transmembrane transporter activity (GO:0015489)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol binding (GO:0015485)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase binding (GO:0035035)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase regulator activity (GO:0035034)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase regulator activity (GO:0035033)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
growth factor binding (GO:0019838)	136	0	.12	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 inhibitor activity (GO:0019834)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin D response element binding (GO:0070644)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase inhibitor activity (GO:0019828)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen sensor activity (GO:0019826)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
oxygen binding (GO:0019825)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
G-protein activated inward rectifier potassium channel activity (GO:0015467)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor activity (GO:0015464)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase regulator activity (GO:0035014)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
cocaine binding (GO:0019811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome binding (GO:0070628)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine binding (GO:0019810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity (GO:0070626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium channel regulator activity (GO:0015459)	66	0	.06	-	 < 0.01	1.00E00	1.00E00
