




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
biosynthetic process (GO:0009058)	4024	1230	580.33	+	2.12	1.45E-198	7.11E-195
lysosome organization (GO:0007040)	108	33	15.58	+	2.12	2.24E-05	4.46E-04
lytic vacuole organization (GO:0080171)	108	33	15.58	+	2.12	2.24E-05	4.45E-04
vesicle docking (GO:0048278)	59	18	8.51	+	2.12	1.30E-03	1.59E-02
regulation of membrane permeability (GO:0090559)	69	21	9.95	+	2.11	7.74E-04	1.02E-02
base-excision repair (GO:0006284)	46	14	6.63	+	2.11	4.94E-03	4.64E-02
endosome to lysosome transport (GO:0008333)	69	21	9.95	+	2.11	7.74E-04	1.02E-02
positive regulation of protein localization (GO:1903829)	447	136	64.47	+	2.11	2.29E-18	2.03E-16
amide metabolic process (GO:0043603)	431	131	62.16	+	2.11	1.30E-17	1.06E-15
regulation of ATP metabolic process (GO:1903578)	79	24	11.39	+	2.11	2.78E-04	4.21E-03
negative regulation of cytoskeleton organization (GO:0051494)	155	47	22.35	+	2.10	3.92E-07	1.10E-05
macromolecule biosynthetic process (GO:0009059)	2945	893	424.72	+	2.10	2.34E-130	5.74E-127
exocytic process (GO:0140029)	66	20	9.52	+	2.10	1.14E-03	1.39E-02
nucleobase-containing compound metabolic process (GO:0006139)	2773	838	399.92	+	2.10	8.43E-120	1.78E-116
regulation of muscle hypertrophy (GO:0014743)	63	19	9.09	+	2.09	1.67E-03	1.97E-02
tRNA metabolic process (GO:0006399)	199	60	28.70	+	2.09	1.08E-08	3.64E-07
RNA metabolic process (GO:0016070)	1572	473	226.71	+	2.09	2.21E-62	1.05E-59
axo-dendritic transport (GO:0008088)	80	24	11.54	+	2.08	3.21E-04	4.80E-03
iron ion transport (GO:0006826)	50	15	7.21	+	2.08	4.00E-03	3.92E-02
DNA-templated transcription elongation (GO:0006354)	50	15	7.21	+	2.08	4.00E-03	3.92E-02
actomyosin structure organization (GO:0031032)	120	36	17.31	+	2.08	1.06E-05	2.23E-04
response to hydrogen peroxide (GO:0042542)	100	30	14.42	+	2.08	7.49E-05	1.32E-03
regulation of membrane depolarization (GO:0003254)	50	15	7.21	+	2.08	4.00E-03	3.91E-02
regulation of protein catabolic process (GO:0042176)	377	113	54.37	+	2.08	5.57E-15	3.86E-13
regulation of focal adhesion assembly (GO:0051893)	67	20	9.66	+	2.07	1.25E-03	1.53E-02
regulation of cell-substrate junction assembly (GO:0090109)	67	20	9.66	+	2.07	1.25E-03	1.53E-02
regulation of apoptotic signaling pathway (GO:2001233)	389	116	56.10	+	2.07	4.30E-15	3.02E-13
metaphase chromosome alignment (GO:0051310)	84	25	12.11	+	2.06	2.60E-04	3.96E-03
negative regulation of protein catabolic process (GO:0042177)	121	36	17.45	+	2.06	1.24E-05	2.58E-04
protein-containing complex localization (GO:0031503)	74	22	10.67	+	2.06	6.71E-04	9.02E-03
protein-containing complex assembly (GO:0065003)	1293	384	186.47	+	2.06	1.61E-48	4.95E-46
intracellular protein localization (GO:0008104)	1879	558	270.99	+	2.06	2.82E-72	1.89E-69
positive regulation of actin filament bundle assembly (GO:0032233)	64	19	9.23	+	2.06	1.83E-03	2.12E-02
protein-containing complex organization (GO:0043933)	1449	430	208.97	+	2.06	1.46E-54	5.69E-52
long-chain fatty acid transport (GO:0015909)	54	16	7.79	+	2.05	3.29E-03	3.30E-02
regulation of proteolysis involved in protein catabolic process (GO:1903050)	240	71	34.61	+	2.05	1.36E-09	5.12E-08
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	34	16.59	+	2.05	2.54E-05	4.98E-04
positive regulation of establishment of protein localization (GO:1904951)	335	99	48.31	+	2.05	8.63E-13	5.18E-11
protein targeting to membrane (GO:0006612)	88	26	12.69	+	2.05	3.34E-04	4.92E-03
RNA biosynthetic process (GO:0032774)	1414	417	203.92	+	2.04	5.89E-52	2.12E-49
cellular localization (GO:0051641)	2008	592	289.59	+	2.04	6.91E-76	5.67E-73
nitrogen compound transport (GO:0071705)	1546	455	222.96	+	2.04	1.05E-56	4.41E-54
liver development (GO:0001889)	136	40	19.61	+	2.04	6.36E-06	1.42E-04
cellular response to osmotic stress (GO:0071470)	51	15	7.36	+	2.04	4.77E-03	4.49E-02
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	75	22	10.82	+	2.03	7.75E-04	1.02E-02
actin cytoskeleton organization (GO:0030036)	546	160	78.74	+	2.03	1.60E-19	1.51E-17
regulation of supramolecular fiber organization (GO:1902903)	390	114	56.24	+	2.03	3.10E-14	2.02E-12
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	137	40	19.76	+	2.02	7.28E-06	1.60E-04
viral gene expression (GO:0019080)	72	21	10.38	+	2.02	1.12E-03	1.38E-02
negative regulation of protein depolymerization (GO:1901880)	72	21	10.38	+	2.02	1.12E-03	1.37E-02
organelle localization (GO:0051640)	552	161	79.61	+	2.02	1.50E-19	1.43E-17
response to acid chemical (GO:0001101)	134	39	19.33	+	2.02	1.04E-05	2.19E-04
regulation of chromosome organization (GO:0033044)	244	71	35.19	+	2.02	3.41E-09	1.22E-07
response to temperature stimulus (GO:0009266)	165	48	23.80	+	2.02	1.03E-06	2.64E-05
regulation of protein-containing complex assembly (GO:0043254)	427	124	61.58	+	2.01	4.80E-15	3.34E-13
protein localization to cell junction (GO:1902414)	93	27	13.41	+	2.01	2.76E-04	4.18E-03
positive regulation of reactive oxygen species metabolic process (GO:2000379)	69	20	9.95	+	2.01	1.61E-03	1.90E-02
positive regulation of protein catabolic process (GO:0045732)	214	62	30.86	+	2.01	3.74E-08	1.16E-06
membraneless organelle assembly (GO:0140694)	363	105	52.35	+	2.01	7.59E-13	4.57E-11
negative regulation of organelle organization (GO:0010639)	339	98	48.89	+	2.00	4.18E-12	2.33E-10
positive regulation of protein transport (GO:0051222)	263	76	37.93	+	2.00	1.43E-09	5.36E-08
midbrain development (GO:0030901)	90	26	12.98	+	2.00	3.97E-04	5.70E-03
response to oxidative stress (GO:0006979)	374	108	53.94	+	2.00	3.32E-13	2.06E-11
nucleic acid biosynthetic process (GO:0141187)	1504	434	216.90	+	2.00	2.82E-51	9.45E-49
autophagy (GO:0006914)	347	100	50.04	+	2.00	2.73E-12	1.58E-10
process utilizing autophagic mechanism (GO:0061919)	347	100	50.04	+	2.00	2.73E-12	1.57E-10
long-chain fatty acid metabolic process (GO:0001676)	118	34	17.02	+	2.00	5.47E-05	1.01E-03
regulation of vacuole organization (GO:0044088)	59	17	8.51	+	2.00	4.31E-03	4.18E-02
regulation of centrosome cycle (GO:0046605)	59	17	8.51	+	2.00	4.31E-03	4.18E-02
regulation of protein localization (GO:0032880)	910	262	131.24	+	2.00	2.37E-30	3.98E-28
hepaticobiliary system development (GO:0061008)	139	40	20.05	+	2.00	1.44E-05	2.95E-04
negative regulation of chromosome organization (GO:2001251)	80	23	11.54	+	1.99	1.09E-03	1.36E-02
regulation of protein targeting (GO:1903533)	80	23	11.54	+	1.99	1.09E-03	1.36E-02
positive regulation of supramolecular fiber organization (GO:1902905)	174	50	25.09	+	1.99	1.08E-06	2.78E-05
macromolecule localization (GO:0033036)	2316	664	334.01	+	1.99	1.59E-80	1.47E-77
chromosome localization (GO:0050000)	105	30	15.14	+	1.98	2.12E-04	3.33E-03
catabolic process (GO:0009056)	2077	592	299.54	+	1.98	1.40E-69	8.29E-67
monocarboxylic acid biosynthetic process (GO:0072330)	179	51	25.81	+	1.98	9.56E-07	2.47E-05
phosphate-containing compound metabolic process (GO:0006796)	1412	402	203.64	+	1.97	9.05E-46	2.43E-43
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	116	33	16.73	+	1.97	8.71E-05	1.53E-03
organelle membrane fusion (GO:0090174)	109	31	15.72	+	1.97	1.60E-04	2.60E-03
protein polymerization (GO:0051258)	102	29	14.71	+	1.97	3.05E-04	4.59E-03
phosphorus metabolic process (GO:0006793)	1415	402	204.07	+	1.97	1.96E-45	5.08E-43
regulation of amide metabolic process (GO:0034248)	74	21	10.67	+	1.97	2.26E-03	2.45E-02
Rho protein signal transduction (GO:0007266)	67	19	9.66	+	1.97	2.67E-03	2.81E-02
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	60	17	8.65	+	1.96	4.84E-03	4.56E-02
regulation of establishment of protein localization (GO:0070201)	540	153	77.88	+	1.96	2.23E-17	1.80E-15
regulation of actin filament bundle assembly (GO:0032231)	106	30	15.29	+	1.96	2.29E-04	3.56E-03
carbohydrate derivative metabolic process (GO:1901135)	894	253	128.93	+	1.96	4.66E-28	6.61E-26
carbohydrate metabolic process (GO:0005975)	449	127	64.75	+	1.96	1.50E-14	1.01E-12
regulation of stress fiber assembly (GO:0051492)	92	26	13.27	+	1.96	5.07E-04	7.07E-03
cellular response to amino acid stimulus (GO:0071230)	85	24	12.26	+	1.96	9.13E-04	1.19E-02
macromolecule catabolic process (GO:0009057)	1088	307	156.91	+	1.96	7.33E-34	1.44E-31
negative regulation of protein metabolic process (GO:0051248)	546	154	78.74	+	1.96	3.15E-17	2.48E-15
protein localization to plasma membrane (GO:0072659)	195	55	28.12	+	1.96	5.41E-07	1.47E-05
regulation of insulin receptor signaling pathway (GO:0046626)	71	20	10.24	+	1.95	3.26E-03	3.28E-02
cellular response to leukemia inhibitory factor (GO:1990830)	103	29	14.85	+	1.95	3.27E-04	4.89E-03
regulation of protein transport (GO:0051223)	444	125	64.03	+	1.95	3.40E-14	2.21E-12
spindle localization (GO:0051653)	64	18	9.23	+	1.95	3.83E-03	3.78E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	64	18	9.23	+	1.95	3.83E-03	3.78E-02
neuron cellular homeostasis (GO:0070050)	64	18	9.23	+	1.95	3.83E-03	3.78E-02
cellular response to type II interferon (GO:0071346)	89	25	12.84	+	1.95	7.23E-04	9.67E-03
ketone metabolic process (GO:0042180)	89	25	12.84	+	1.95	7.23E-04	9.66E-03
endocytosis (GO:0006897)	512	143	73.84	+	1.94	1.38E-15	1.01E-13
vesicle fusion (GO:0006906)	104	29	15.00	+	1.93	3.58E-04	5.23E-03
response to toxic substance (GO:0009636)	255	71	36.78	+	1.93	2.44E-08	7.79E-07
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	176	49	25.38	+	1.93	3.91E-06	9.17E-05
regulation of protein depolymerization (GO:1901879)	97	27	13.99	+	1.93	6.66E-04	8.97E-03
positive regulation of macroautophagy (GO:0016239)	97	27	13.99	+	1.93	6.66E-04	8.96E-03
regulation of catabolic process (GO:0009894)	1048	291	151.14	+	1.93	8.33E-31	1.48E-28
regulation of vesicle-mediated transport (GO:0060627)	555	154	80.04	+	1.92	1.73E-16	1.33E-14
carbohydrate biosynthetic process (GO:0016051)	119	33	17.16	+	1.92	1.85E-04	2.94E-03
protein catabolic process (GO:0030163)	815	226	117.54	+	1.92	8.37E-24	1.01E-21
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	83	23	11.97	+	1.92	1.47E-03	1.76E-02
carbohydrate derivative biosynthetic process (GO:1901137)	549	152	79.18	+	1.92	3.46E-16	2.59E-14
positive regulation of proteolysis (GO:0045862)	206	57	29.71	+	1.92	6.71E-07	1.78E-05
integrin-mediated signaling pathway (GO:0007229)	105	29	15.14	+	1.92	3.98E-04	5.71E-03
response to leukemia inhibitory factor (GO:1990823)	105	29	15.14	+	1.92	3.98E-04	5.70E-03
negative regulation of protein localization (GO:1903828)	203	56	29.28	+	1.91	9.43E-07	2.44E-05
vesicle-mediated transport (GO:0016192)	1321	364	190.51	+	1.91	6.81E-38	1.46E-35
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	27	14.13	+	1.91	7.23E-04	9.66E-03
reactive oxygen species metabolic process (GO:0072593)	109	30	15.72	+	1.91	3.17E-04	4.76E-03
actin filament-based process (GO:0030029)	622	171	89.70	+	1.91	7.35E-18	6.16E-16
alcohol metabolic process (GO:0006066)	310	85	44.71	+	1.90	2.34E-09	8.62E-08
negative regulation of proteolysis (GO:0045861)	135	37	19.47	+	1.90	1.04E-04	1.77E-03
positive regulation of DNA metabolic process (GO:0051054)	281	77	40.53	+	1.90	1.53E-08	5.04E-07
cellular response to topologically incorrect protein (GO:0035967)	95	26	13.70	+	1.90	1.03E-03	1.29E-02
negative regulation of innate immune response (GO:0045824)	95	26	13.70	+	1.90	1.03E-03	1.29E-02
organelle fusion (GO:0048284)	139	38	20.05	+	1.90	7.81E-05	1.37E-03
positive regulation of endocytosis (GO:0045807)	161	44	23.22	+	1.89	2.18E-05	4.36E-04
positive regulation of protein-containing complex assembly (GO:0031334)	202	55	29.13	+	1.89	2.45E-06	5.94E-05
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	136	37	19.61	+	1.89	1.10E-04	1.87E-03
negative regulation of transmembrane transport (GO:0034763)	103	28	14.85	+	1.88	6.32E-04	8.55E-03
regulation of endocytosis (GO:0030100)	309	84	44.56	+	1.88	3.91E-09	1.38E-07
negative regulation of monoatomic ion transmembrane transport (GO:0034766)	70	19	10.10	+	1.88	5.45E-03	4.99E-02
regulation of autophagy (GO:0010506)	373	101	53.79	+	1.88	1.31E-10	5.72E-09
positive regulation of organelle organization (GO:0010638)	503	136	72.54	+	1.87	9.35E-14	6.00E-12
intracellular iron ion homeostasis (GO:0006879)	74	20	10.67	+	1.87	4.22E-03	4.10E-02
positive regulation of apoptotic signaling pathway (GO:2001235)	148	40	21.34	+	1.87	5.30E-05	9.85E-04
regulation of proteolysis (GO:0030162)	386	104	55.67	+	1.87	9.96E-11	4.48E-09
nucleic acid metabolic process (GO:0090304)	2201	593	317.42	+	1.87	4.62E-60	2.07E-57
response to osmotic stress (GO:0006970)	78	21	11.25	+	1.87	3.34E-03	3.35E-02
ERBB signaling pathway (GO:0038127)	78	21	11.25	+	1.87	3.34E-03	3.34E-02
positive regulation of small GTPase mediated signal transduction (GO:0051057)	78	21	11.25	+	1.87	3.34E-03	3.34E-02
cellular response to acid chemical (GO:0071229)	93	25	13.41	+	1.86	1.59E-03	1.89E-02
negative regulation of protein-containing complex disassembly (GO:0043242)	82	22	11.83	+	1.86	3.87E-03	3.81E-02
regulation of reactive oxygen species metabolic process (GO:2000377)	142	38	20.48	+	1.86	1.04E-04	1.77E-03
steroid metabolic process (GO:0008202)	258	69	37.21	+	1.85	2.37E-07	6.89E-06
cellular response to chemical stress (GO:0062197)	288	77	41.53	+	1.85	4.00E-08	1.23E-06
mitotic spindle organization (GO:0007052)	101	27	14.57	+	1.85	1.48E-03	1.78E-02
osteoblast differentiation (GO:0001649)	146	39	21.06	+	1.85	1.19E-04	1.99E-03
establishment or maintenance of cell polarity (GO:0007163)	210	56	30.29	+	1.85	3.90E-06	9.17E-05
regulation of protein-containing complex disassembly (GO:0043244)	135	36	19.47	+	1.85	1.82E-04	2.90E-03
regulation of cellular response to stress (GO:0080135)	540	144	77.88	+	1.85	6.11E-14	3.94E-12
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	135	36	19.47	+	1.85	1.82E-04	2.90E-03
cellular component biogenesis (GO:0044085)	2774	739	400.06	+	1.85	1.05E-74	8.14E-72
regulation of cell projection assembly (GO:0060491)	214	57	30.86	+	1.85	2.98E-06	7.09E-05
unsaturated fatty acid metabolic process (GO:0033559)	109	29	15.72	+	1.84	8.54E-04	1.12E-02
regulation of organelle assembly (GO:1902115)	237	63	34.18	+	1.84	9.01E-07	2.34E-05
positive regulation of DNA repair (GO:0045739)	143	38	20.62	+	1.84	1.66E-04	2.69E-03
proteolysis involved in protein catabolic process (GO:0051603)	685	182	98.79	+	1.84	3.49E-17	2.73E-15
fatty acid biosynthetic process (GO:0006633)	128	34	18.46	+	1.84	3.27E-04	4.89E-03
positive regulation of double-strand break repair (GO:2000781)	98	26	14.13	+	1.84	2.08E-03	2.33E-02
response to activity (GO:0014823)	83	22	11.97	+	1.84	4.12E-03	4.03E-02
synaptic vesicle cycle (GO:0099504)	151	40	21.78	+	1.84	9.80E-05	1.69E-03
regulation of actomyosin structure organization (GO:0110020)	102	27	14.71	+	1.84	1.56E-03	1.86E-02
vesicle-mediated transport in synapse (GO:0099003)	170	45	24.52	+	1.84	3.79E-05	7.16E-04
positive regulation of cytoskeleton organization (GO:0051495)	189	50	27.26	+	1.83	1.47E-05	3.01E-04
organelle transport along microtubule (GO:0072384)	87	23	12.55	+	1.83	3.17E-03	3.19E-02
regulation of actin filament-based process (GO:0032970)	398	105	57.40	+	1.83	3.17E-10	1.32E-08
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	163	43	23.51	+	1.83	6.85E-05	1.21E-03
regulation of actin cytoskeleton organization (GO:0032956)	353	93	50.91	+	1.83	3.72E-09	1.32E-07
negative regulation of catabolic process (GO:0009895)	381	100	54.95	+	1.82	9.80E-10	3.84E-08
regulation of phagocytosis (GO:0050764)	103	27	14.85	+	1.82	1.68E-03	1.97E-02
regulation of cellular component size (GO:0032535)	359	94	51.77	+	1.82	5.06E-09	1.76E-07
regulation of protein metabolic process (GO:0051246)	1479	387	213.30	+	1.81	6.67E-35	1.35E-32
membrane fusion (GO:0061025)	172	45	24.81	+	1.81	4.55E-05	8.54E-04
negative regulation of protein transport (GO:0051224)	115	30	16.59	+	1.81	1.17E-03	1.43E-02
proteasomal protein catabolic process (GO:0010498)	468	122	67.49	+	1.81	2.39E-11	1.16E-09
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	211	55	30.43	+	1.81	7.44E-06	1.63E-04
protein N-linked glycosylation (GO:0006487)	96	25	13.84	+	1.81	3.07E-03	3.11E-02
regulation of cell morphogenesis (GO:0022604)	246	64	35.48	+	1.80	1.52E-06	3.79E-05
regulation of TORC1 signaling (GO:1903432)	100	26	14.42	+	1.80	2.35E-03	2.53E-02
wound healing (GO:0042060)	339	88	48.89	+	1.80	2.01E-08	6.49E-07
telomere organization (GO:0032200)	108	28	15.58	+	1.80	1.44E-03	1.74E-02
actin filament-based movement (GO:0030048)	108	28	15.58	+	1.80	1.44E-03	1.74E-02
regulation of cytoskeleton organization (GO:0051493)	544	141	78.45	+	1.80	9.37E-13	5.57E-11
primary metabolic process (GO:0044238)	6776	1754	977.22	+	1.79	1.39E-221	1.03E-217
regulation of organelle organization (GO:0033043)	1186	307	171.04	+	1.79	1.43E-26	1.90E-24
supramolecular fiber organization (GO:0097435)	555	143	80.04	+	1.79	1.45E-12	8.54E-11
negative regulation of response to biotic stimulus (GO:0002832)	132	34	19.04	+	1.79	6.58E-04	8.88E-03
sterol homeostasis (GO:0055092)	101	26	14.57	+	1.78	2.54E-03	2.69E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	237	61	34.18	+	1.78	3.98E-06	9.30E-05
host-mediated perturbation of symbiont process (GO:0051851)	109	28	15.72	+	1.78	2.26E-03	2.45E-02
cellular response to oxidative stress (GO:0034599)	226	58	32.59	+	1.78	8.95E-06	1.93E-04
isoprenoid metabolic process (GO:0006720)	121	31	17.45	+	1.78	1.05E-03	1.31E-02
positive regulation of catabolic process (GO:0009896)	535	137	77.16	+	1.78	5.77E-12	3.15E-10
regulation of response to wounding (GO:1903034)	168	43	24.23	+	1.77	1.43E-04	2.34E-03
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	86	22	12.40	+	1.77	5.39E-03	4.95E-02
response to peptide hormone (GO:0043434)	407	104	58.70	+	1.77	3.19E-09	1.15E-07
negative regulation of cellular component organization (GO:0051129)	709	181	102.25	+	1.77	3.21E-15	2.29E-13
protein localization to cell periphery (GO:1990778)	239	61	34.47	+	1.77	6.60E-06	1.47E-04
regulation of post-translational protein modification (GO:1901873)	243	62	35.04	+	1.77	5.09E-06	1.17E-04
response to UV (GO:0009411)	157	40	22.64	+	1.77	2.28E-04	3.56E-03
metabolic process (GO:0008152)	7644	1945	1102.40	+	1.76	4.32E-253	6.37E-249
mitotic nuclear division (GO:0140014)	169	43	24.37	+	1.76	1.53E-04	2.49E-03
cell division (GO:0051301)	527	134	76.00	+	1.76	1.60E-11	8.16E-10
regulation of DNA metabolic process (GO:0051052)	493	125	71.10	+	1.76	1.19E-10	5.28E-09
mitotic sister chromatid segregation (GO:0000070)	142	36	20.48	+	1.76	6.66E-04	8.97E-03
sister chromatid segregation (GO:0000819)	146	37	21.06	+	1.76	5.11E-04	7.09E-03
negative regulation of catalytic activity (GO:0043086)	154	39	22.21	+	1.76	3.14E-04	4.72E-03
organelle organization (GO:0006996)	3084	781	444.77	+	1.76	1.55E-68	8.46E-66
regulation of protein ubiquitination (GO:0031396)	194	49	27.98	+	1.75	7.70E-05	1.36E-03
vacuole organization (GO:0007033)	206	52	29.71	+	1.75	3.64E-05	6.92E-04
regulation of DNA replication (GO:0006275)	119	30	17.16	+	1.75	2.28E-03	2.47E-02
negative regulation of establishment of protein localization (GO:1904950)	131	33	18.89	+	1.75	1.04E-03	1.31E-02
regulation of wound healing (GO:0061041)	131	33	18.89	+	1.75	1.04E-03	1.31E-02
plasma membrane organization (GO:0007009)	163	41	23.51	+	1.74	2.88E-04	4.35E-03
transport along microtubule (GO:0010970)	175	44	25.24	+	1.74	1.97E-04	3.11E-03
DNA replication (GO:0006260)	203	51	29.28	+	1.74	4.97E-05	9.27E-04
chromosome organization (GO:0051276)	423	106	61.00	+	1.74	6.45E-09	2.20E-07
cellular component assembly (GO:0022607)	2531	633	365.01	+	1.73	1.08E-51	3.80E-49
positive regulation of autophagy (GO:0010508)	164	41	23.65	+	1.73	3.09E-04	4.65E-03
response to ionizing radiation (GO:0010212)	144	36	20.77	+	1.73	7.49E-04	9.98E-03
endothelium development (GO:0003158)	108	27	15.58	+	1.73	3.52E-03	3.51E-02
protein metabolic process (GO:0019538)	3308	823	477.07	+	1.73	5.03E-69	2.85E-66
protein localization to membrane (GO:0072657)	322	80	46.44	+	1.72	8.03E-07	2.10E-05
mitotic cell cycle (GO:0000278)	592	147	85.38	+	1.72	1.18E-11	6.04E-10
regulation of DNA recombination (GO:0000018)	141	35	20.33	+	1.72	1.02E-03	1.29E-02
erythrocyte homeostasis (GO:0034101)	129	32	18.60	+	1.72	1.55E-03	1.85E-02
regulation of receptor-mediated endocytosis (GO:0048259)	121	30	17.45	+	1.72	2.52E-03	2.67E-02
response to insulin (GO:0032868)	226	56	32.59	+	1.72	3.49E-05	6.66E-04
small GTPase-mediated signal transduction (GO:0007264)	275	68	39.66	+	1.71	5.54E-06	1.26E-04
regulation of microtubule cytoskeleton organization (GO:0070507)	166	41	23.94	+	1.71	4.99E-04	6.96E-03
regulation of cellular component biogenesis (GO:0044087)	1045	258	150.71	+	1.71	2.15E-19	2.02E-17
myeloid cell homeostasis (GO:0002262)	158	39	22.79	+	1.71	5.76E-04	7.86E-03
regulation of cell-substrate adhesion (GO:0010810)	223	55	32.16	+	1.71	4.73E-05	8.85E-04
positive regulation of cellular component biogenesis (GO:0044089)	516	127	74.42	+	1.71	7.25E-10	2.89E-08
mitotic cell cycle process (GO:1903047)	512	126	73.84	+	1.71	6.50E-10	2.62E-08
regulation of steroid metabolic process (GO:0019218)	110	27	15.86	+	1.70	4.12E-03	4.03E-02
positive regulation of cell growth (GO:0030307)	163	40	23.51	+	1.70	6.78E-04	9.10E-03
cellular response to insulin stimulus (GO:0032869)	159	39	22.93	+	1.70	6.22E-04	8.45E-03
cytoskeleton-dependent intracellular transport (GO:0030705)	200	49	28.84	+	1.70	1.54E-04	2.51E-03
positive regulation of protein metabolic process (GO:0051247)	788	193	113.64	+	1.70	2.37E-14	1.57E-12
regulation of double-strand break repair (GO:2000779)	147	36	21.20	+	1.70	1.28E-03	1.56E-02
negative regulation of transport (GO:0051051)	409	100	58.99	+	1.70	7.03E-08	2.15E-06
negative regulation of gene expression (GO:0010629)	1056	258	152.29	+	1.69	8.14E-19	7.33E-17
negative regulation of phosphorus metabolic process (GO:0010563)	168	41	24.23	+	1.69	5.57E-04	7.62E-03
negative regulation of phosphate metabolic process (GO:0045936)	168	41	24.23	+	1.69	5.57E-04	7.62E-03
modification-dependent protein catabolic process (GO:0019941)	576	140	83.07	+	1.69	1.80E-10	7.71E-09
response to reactive oxygen species (GO:0000302)	173	42	24.95	+	1.68	6.56E-04	8.86E-03
modification-dependent macromolecule catabolic process (GO:0043632)	581	141	83.79	+	1.68	2.07E-10	8.80E-09
negative regulation of DNA metabolic process (GO:0051053)	136	33	19.61	+	1.68	2.04E-03	2.29E-02
macromolecule metabolic process (GO:0043170)	5404	1311	779.35	+	1.68	1.60E-116	2.96E-113
lipid metabolic process (GO:0006629)	1217	295	175.51	+	1.68	8.52E-21	8.91E-19
modulation of process of another organism (GO:0035821)	116	28	16.73	+	1.67	5.00E-03	4.67E-02
cellular response to peptide hormone stimulus (GO:0071375)	282	68	40.67	+	1.67	1.62E-05	3.28E-04
protein complex oligomerization (GO:0051259)	278	67	40.09	+	1.67	1.49E-05	3.03E-04
glial cell development (GO:0021782)	129	31	18.60	+	1.67	3.51E-03	3.51E-02
positive regulation of cell-substrate adhesion (GO:0010811)	129	31	18.60	+	1.67	3.51E-03	3.51E-02
protein processing (GO:0016485)	196	47	28.27	+	1.66	3.19E-04	4.79E-03
response to nitrogen compound (GO:1901698)	1028	246	148.26	+	1.66	8.84E-17	6.83E-15
ubiquitin-dependent protein catabolic process (GO:0006511)	565	135	81.48	+	1.66	1.31E-09	4.98E-08
spindle organization (GO:0007051)	172	41	24.81	+	1.65	9.66E-04	1.26E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	382	91	55.09	+	1.65	9.62E-07	2.48E-05
cellular response to reactive oxygen species (GO:0034614)	126	30	18.17	+	1.65	4.75E-03	4.48E-02
regulation of exocytosis (GO:0017157)	190	45	27.40	+	1.64	5.74E-04	7.84E-03
positive regulation of programmed cell death (GO:0043068)	549	130	79.18	+	1.64	5.20E-09	1.81E-07
regulation of small molecule metabolic process (GO:0062012)	347	82	50.04	+	1.64	4.46E-06	1.03E-04
recombinational repair (GO:0000725)	127	30	18.32	+	1.64	5.05E-03	4.72E-02
regulation of anatomical structure size (GO:0090066)	509	120	73.41	+	1.63	2.95E-08	9.31E-07
establishment of cell polarity (GO:0030010)	140	33	20.19	+	1.63	3.53E-03	3.51E-02
negative regulation of programmed cell death (GO:0043069)	939	221	135.42	+	1.63	2.49E-14	1.64E-12
intrinsic apoptotic signaling pathway (GO:0097193)	183	43	26.39	+	1.63	9.63E-04	1.25E-02
regulation of localization (GO:0032879)	2019	474	291.18	+	1.63	2.36E-30	4.01E-28
regulation of programmed cell death (GO:0043067)	1534	360	221.23	+	1.63	8.05E-23	8.93E-21
positive regulation of apoptotic process (GO:0043065)	525	123	75.71	+	1.62	2.41E-08	7.73E-07
cell-cell junction organization (GO:0045216)	188	44	27.11	+	1.62	1.10E-03	1.37E-02
double-strand break repair (GO:0006302)	224	52	32.30	+	1.61	3.74E-04	5.45E-03
positive regulation of transport (GO:0051050)	853	198	123.02	+	1.61	3.00E-12	1.72E-10
regulation of apoptotic process (GO:0042981)	1478	343	213.15	+	1.61	6.81E-21	7.18E-19
negative regulation of apoptotic process (GO:0043066)	901	209	129.94	+	1.61	6.65E-13	4.05E-11
response to wounding (GO:0009611)	457	106	65.91	+	1.61	5.03E-07	1.37E-05
regulation of generation of precursor metabolites and energy (GO:0043467)	138	32	19.90	+	1.61	5.04E-03	4.71E-02
