




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
extracellular space (GO:0005615)	3225	191	66.91	+	2.85	5.47E-47	2.21E-44
lytic vacuole (GO:0000323)	797	47	16.54	+	2.84	1.23E-10	7.12E-09
lysosome (GO:0005764)	797	47	16.54	+	2.84	1.23E-10	6.92E-09
secretory granule (GO:0030141)	942	55	19.54	+	2.81	4.07E-12	3.05E-10
ruffle (GO:0001726)	189	11	3.92	+	2.81	2.04E-03	2.63E-02
transport vesicle (GO:0030133)	452	26	9.38	+	2.77	3.17E-06	8.54E-05
vacuolar membrane (GO:0005774)	508	29	10.54	+	2.75	9.94E-07	2.87E-05
secretory vesicle (GO:0099503)	1133	63	23.51	+	2.68	7.88E-13	7.23E-11
vacuole (GO:0005773)	892	49	18.51	+	2.65	5.46E-10	2.75E-08
early endosome (GO:0005769)	450	24	9.34	+	2.57	2.63E-05	5.70E-04
endoplasmic reticulum (GO:0005783)	2120	113	43.99	+	2.57	1.09E-21	1.84E-19
vesicle (GO:0031982)	4083	210	84.72	+	2.48	6.34E-43	2.13E-40
exocytic vesicle (GO:0070382)	253	13	5.25	+	2.48	2.53E-03	3.12E-02
cell surface (GO:0009986)	924	47	19.17	+	2.45	1.67E-08	6.89E-07
vesicle membrane (GO:0012506)	1294	65	26.85	+	2.42	2.91E-11	1.89E-09
