




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
sterol transfer activity (GO:0120015)	32	12	4.61	+	2.60	1.07E-03	1.49E-02
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	48	18	6.92	+	2.60	6.57E-05	1.23E-03
NF-kappaB binding (GO:0051059)	32	12	4.61	+	2.60	1.07E-03	1.49E-02
exopeptidase activity (GO:0008238)	107	40	15.43	+	2.59	3.40E-09	1.36E-07
primary active transmembrane transporter activity (GO:0015399)	166	62	23.94	+	2.59	1.93E-13	1.13E-11
ATPase binding (GO:0051117)	89	33	12.84	+	2.57	9.80E-08	3.32E-06
pre-mRNA binding (GO:0036002)	38	14	5.48	+	2.55	5.17E-04	7.85E-03
metal cluster binding (GO:0051540)	76	28	10.96	+	2.55	1.04E-06	3.17E-05
telomeric DNA binding (GO:0042162)	38	14	5.48	+	2.55	5.17E-04	7.83E-03
peptidase activator activity (GO:0016504)	60	22	8.65	+	2.54	1.59E-05	3.51E-04
adenylyltransferase activity (GO:0070566)	30	11	4.33	+	2.54	2.12E-03	2.70E-02
cell-cell adhesion mediator activity (GO:0098632)	60	22	8.65	+	2.54	1.59E-05	3.50E-04
mRNA 3'-UTR binding (GO:0003730)	112	41	16.15	+	2.54	4.47E-09	1.73E-07
FAD binding (GO:0071949)	41	15	5.91	+	2.54	3.60E-04	5.70E-03
proton transmembrane transporter activity (GO:0015078)	186	68	26.82	+	2.53	4.49E-14	2.67E-12
carbon-carbon lyase activity (GO:0016830)	52	19	7.50	+	2.53	6.29E-05	1.19E-03
DNA helicase activity (GO:0003678)	58	21	8.36	+	2.51	3.08E-05	6.43E-04
nucleic acid conformation isomerase activity (GO:0120545)	161	58	23.22	+	2.50	6.55E-12	3.35E-10
iron-sulfur cluster binding (GO:0051536)	75	27	10.82	+	2.50	2.71E-06	7.38E-05
Hsp70 protein binding (GO:0030544)	50	18	7.21	+	2.50	1.22E-04	2.17E-03
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	39	14	5.62	+	2.49	7.01E-04	1.02E-02
exogenous protein binding (GO:0140272)	81	29	11.68	+	2.48	1.34E-06	3.84E-05
proton channel activity (GO:0015252)	28	10	4.04	+	2.48	4.18E-03	4.68E-02
4 iron, 4 sulfur cluster binding (GO:0051539)	45	16	6.49	+	2.47	3.37E-04	5.44E-03
metalloexopeptidase activity (GO:0008235)	71	25	10.24	+	2.44	9.87E-06	2.25E-04
